confidence,asin,queue,value,currency,affinity_source,rule_label,would_pick,title,detail_url,event_time
"100","B0GTTP41TT","encore","16.99","EUR","rule","3D printing","true","PLA Silk Filament 1,75 mm 1kg (2,2 lbs), Filamento PLA per Stampante 3D, Precisione Dimensionale +/- 0,02 mm, Light Gold","https://www.amazon.it/dp/B0GTTP41TT","2026-06-07T10:27:32.145Z"
"100","B0H2DCW1V5","encore","14.69","EUR","rule","3D printing","true","Filamento per penna 3D 1,75 PLA 25 colori, filamento per stampa 3D, 1,75 mm, ogni colore 5 metri, lunghezza totale 125 m, ricarica per penna 3D (penna 3D non inclusa)","https://www.amazon.it/dp/B0H2DCW1V5","2026-06-06T08:52:18.479Z"
"100","B0H25V5655","encore","24.9","EUR","rule","3D printing","true","Meltura Bobina vuota compatibile con Bambulab Bambu Lab AMS P1S P1P P2S H2C X1C accessori bobina vuota bobina vuota stampante 3D filamento PETG PLA filamento termoplastico","https://www.amazon.it/dp/B0H25V5655","2026-05-25T08:46:20.600Z"
"88","B0G2SH23CH","last_chance","289.99","EUR","rule","home appliances","true","Philips Airfryer Serie 5000 con Maxi Capacità e Funzione Vapore – SteamFry, Vapore e Frittura ad Aria – 28 Programmi di Cottura, Doppio Scomparto 3L+6L, RapidAir Plus, SteamClean (NA565/00)","https://www.amazon.it/dp/B0G2SH23CH","2026-05-24T10:01:23.076Z"
"85","B0GHN3V6BP","encore","599.99","EUR","rule","home appliances","true","roborock Qrevo S Pro Set Robot Aspirapolvere Lavapavimenti (Migliorato da QV 35A), 18.500Pa, Autopulizia Panno 75°C, Asciugatura Aria Calda 45°C, Antigroviglio, Stazione Tutto in Uno, Modalità Tappeti (Set Nero)","https://www.amazon.it/dp/B0GHN3V6BP","2026-05-20T17:32:48.954Z"
"82","B0GWRP7RJP","last_chance","89.99","EUR","rule","gaming","true","razer hammer","https://www.amazon.it/dp/B0GWRP7RJP","2026-06-22T13:58:55.133Z"
"81","B0GVMBZZGL","encore","139.99","EUR","rule","networking","true","OTTOCAST Play2Video Ultra, Adattatore CarPlay Wireless 3 in 1, Adattatore Android Auto con Netflix & YouTube, WiFi 6 + Chip 5G, Telecomando, Riproduzione USB Offline, Android AI Box per auto dal 2016","https://www.amazon.it/dp/B0GVMBZZGL","2026-05-21T13:59:26.438Z"
"77","B0GZFDPJ82","encore","24.9","EUR","rule","drones","true","REYGEAK Treppiede magnetico per selfie DJI Osmo Action 6/5/4/3/Nano, manico estensibile per fotocamera con supporto a sgancio rapido, testa a sfera a 360° per video verticali, treppiede compatto","https://www.amazon.it/dp/B0GZFDPJ82","2026-06-13T06:04:57.439Z"
"77","B0GWHJ3DHF","encore","24.95","EUR","rule","drones","true","PGYTECH Filtro per DJI Osmo Pocket 3, Protezione Obiettivo Magnetica Vetro Ottico AGC Impermeabile Antigraffio Accessori Fotocamera","https://www.amazon.it/dp/B0GWHJ3DHF","2026-06-06T07:51:25.534Z"
"77","B0F535ZF7L","encore","24.99","EUR","rule","drones","true","Caricabatterie MXJFYY da 65 W per ASUS Zenbook 14 13 UX425 UX425E UX325E UX435 UM3402 UX391 UX490 Chromebook Flip C302 C302C CM3,per drone DJI Neo,Mini 4K,Mini 4 Pro,Mavic 3 Classic/3 Pro/3 Cine,Air 3","https://www.amazon.it/dp/B0F535ZF7L","2026-05-31T07:45:03.820Z"
"77","B0GMGN8B29","encore","25","EUR","rule","drones","true","XUNNIU 12 Sacchetti per DJI ROMO P/ROMO A/ROMO S, Grande capacità,Tessuto non tessuto,Compatibili con DJI robot aspirapolvere pezzi di ricambio","https://www.amazon.it/dp/B0GMGN8B29","2026-05-31T03:25:26.450Z"
"76","B0H1MY9FB8","encore","19.9","EUR","rule","drones","true","Bastone per Selfie e Treppiede per Action Camera 40cm con Testa a Sfera 360°, Monopiede Estensibile per Riprese Verticali, Accessori Vlogging Leggeri per GoPro, DJI Osmo Action, Insta360 Ace Pro","https://www.amazon.it/dp/B0H1MY9FB8","2026-07-03T10:02:16.288Z"
